VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,total_amount
,,,,,,,,,
2,2017-02-03 2:03,2017-02-03 2:20,1,3.29,1,N,87,246,16.3
2,2017-02-03 2:26,2017-02-03 2:46,1,2.8,1,N,68,239,15.8
2,2017-02-03 2:49,2017-02-03 9:56,1,0.9,1,N,239,43,8.16
2,2017-02-03 4:41,2017-02-03 4:52,1,0.72,1,N,163,230,10.56
2,2017-02-03 4:57,2017-02-03 12:16,1,1.1,1,N,186,230,15.34
2,2017-02-21 14:50,2017-02-21 15:03,1,0.93,1,N,141,162,9.8
2,2017-02-21 23:23,2017-02-21 23:26,6,0.84,1,N,234,68,7.18
2,2017-02-21 23:28,2017-02-21 23:39,6,2.01,1,N,249,161,14.12
2,2017-02-21 23:55,2017-02-22 0:01,6,1.52,1,N,144,87,10.38
2,2017-02-24 12:17,2017-02-24 12:28,1,1.01,1,N,230,68,11.44
2,2017-02-24 12:29,2017-02-24 12:33,1,0.72,1,N,68,68,6.89
2,2017-02-24 12:47,2017-02-24 12:59,1,1.6,1,N,231,113,11.76
2,2017-02-24 13:03,2017-02-24 22:04,1,4.31,1,N,113,239,38.3
1,2017-02-01 0:00,2017-02-01 0:20,1,10.3,1,N,138,162,37.34
